season_no,episode_no,prod_code,episode_title,directed_by,written_by,orginal_air_date,us_viewers,network,parts,episode_type
1,1,456650,The Pilot,James Burrows,David Crane & Marta Kauffman,1994-09-22,21.5,NBC,1,Season Premiere
1,2,456652,The One with the Sonogram at the End,James Burrows,David Crane & Marta Kauffman,1994-09-29,20.2,NBC,1,Normal Episode
1,3,456651,The One with the Thumb,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-10-06,19.5,NBC,1,Normal Episode
1,4,456654,The One with George Stephanopoulos,James Burrows,Alexa Junge,1994-10-13,19.7,NBC,1,Normal Episode
1,5,456653,The One with the East German Laundry Detergent,Pamela Fryman,Jeff Greenstein & Jeff Strauss,1994-10-20,18.6,NBC,1,Normal Episode
1,6,456655,The One with the Butt,Arlene Sanford,Adam Chase & Ira Ungerleider,1994-10-27,18.2,NBC,1,Normal Episode
1,7,456656,The One with the Blackout,James Burrows,Jeffrey Astrof & Mike Sikowitz,1994-11-03,23.5,NBC,1,Normal Episode
1,8,456657,The One Where Nana Dies Twice,James Burrows,Marta Kauffman & David Crane,1994-11-10,21.1,NBC,1,Normal Episode
1,9,456659,The One Where Underdog Gets Away,James Burrows,Jeff Greenstein & Jeff Strauss,1994-11-17,23.1,NBC,1,Normal Episode
1,10,456661,The One with the Monkey,Peter Bonerz,Adam Chase & Ira Ungerleider,1994-12-15,19.9,NBC,1,Normal Episode
1,11,456660,The One with Mrs. Bing,James Burrows,Alexa Junge,1995-01-05,26.6,NBC,1,Normal Episode
1,12,456658,The One with the Dozen Lasagnas,Paul Lazarus,Jeffrey Astrof & Mike Sikowitz & Adam Chase & Ira Ungerleider,1995-01-12,24.0,NBC,1,Normal Episode
1,13,456664,The One with the Boobies,Alan Myerson,Alexa Junge,1995-01-19,25.8,NBC,1,Normal Episode
1,14,456667,The One with the Candy Hearts,James Burrows,Bill Lawrence,1995-02-09,23.8,NBC,1,Normal Episode
1,15,456663,The One with the Stoned Guy,Alan Myerson,Jeff Greenstein & Jeff Strauss,1995-02-16,24.8,NBC,1,Normal Episode
1,16,456665A,The One with Two Parts: Part 1,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,26.1,NBC,1,Normal Episode
1,17,456665B,The One with Two Parts: Part 2,Michael Lembeck,Marta Kauffman & David Crane,1995-02-23,30.5,NBC,2,Normal Episode
1,18,456662,The One with All the Poker,James Burrows,Jeffrey Astrof & Mike Sikowitz,1995-03-02,30.4,NBC,1,Normal Episode
1,19,456668,The One Where the Monkey Gets Away,Peter Bonerz,Jeffrey Astrof & Mike Sikowitz,1995-03-09,29.4,NBC,1,Normal Episode
1,20,456669,The One with the Evil Orthodontist,Peter Bonerz,Doty Abrams,1995-04-06,30.0,NBC,1,Normal Episode
1,21,456671,The One with the Fake Monica,Gail Mancuso,Adam Chase & Ira Ungerleider,1995-04-27,28.4,NBC,1,Normal Episode
1,22,456670,The One with the Ick Factor,Robby Benson,Alexa Junge,1995-05-04,29.9,NBC,1,Normal Episode
1,23,456672,The One with the Birth,James Burrows, Jeff Greenstein & Jeff Strauss,1995-05-11,28.7,NBC,1,Normal Episode
1,24,456673,The One Where Rachel Finds Out,Kevin S. Bright,Chris Brown,1995-05-18,31.3,NBC,1,Season Finale
2,1,457301,The One with Ross's New Girlfriend,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,1995-09-21,32.1,NBC,1,Season Premiere
2,2,457302,The One with the Breast Milk,Michael Lembeck,Adam Chase & Ira Ungerleider,1995-09-28,29.8,NBC,1,Normal Episode
2,3,457303,The One Where Heckles Dies,Kevin S. Bright,Michael Curtis & Gregory S. Malins,1995-10-05,30.2,NBC,1,Normal Episode
2,4,457305,The One with Phoebe's Husband,Gail Mancuso,Alexa Junge,1995-10-12,28.1,NBC,1,Normal Episode
2,5,457304,The One with Five Steaks and an Eggplant,Ellen Gittelsohn,Chris Brown,1995-10-19,28.3,NBC,1,Normal Episode
2,6,457306,The One with the Baby on the Bus,Gail Mancuso,Betsy Borns,1995-11-02,30.2,NBC,1,Normal Episode
2,7,457307,The One Where Ross Finds Out,Peter Bonerz,Michael Borkow,1995-11-09,30.5,NBC,1,Normal Episode
2,8,457308,The One with the List,Mary Kay Place,David Crane & Marta Kauffman,1995-11-16,32.9,NBC,1,Normal Episode
2,9,457309,The One with Phoebe's Dad,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,1995-12-14,27.8,NBC,1,Normal Episode
2,10,457311,The One with Russ,Thomas Schlamme,Ira Ungerleider,1996-01-04,32.2,NBC,1,Normal Episode
2,11,457312,The One with the Lesbian Wedding,Thomas Schlamme,Doty Abrams,1996-01-18,31.6,NBC,1,Normal Episode
2,14,457310,The One with the Prom Video,James Burrows,Alexa Junge,1996-02-01,33.6,NBC,1,Normal Episode
2,15,457315,The One Where Ross and Rachel...You Know,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-02-08,32.9,NBC,1,Normal Episode
2,16,457316,The One Where Joey Moves Out,Michael Lembeck,Betsy Borns,1996-02-15,31.1,NBC,1,Normal Episode
2,17,457317,The One Where Eddie Moves In,Michael Lembeck,Adam Chase,1996-02-22,30.2,NBC,1,Normal Episode
2,18,457318,The One Where Dr. Ramoray Dies,Michael Lembeck, Michael Borkow,1996-03-21,30.1,NBC,1,Normal Episode
2,19,457319,The One Where Eddie Won't Go,Michael Lembeck,Michael Curtis & Gregory S. Malins,1996-03-28,31.2,NBC,1,Normal Episode
2,20,457320,The One Where Old Yeller Dies,Michael Lembeck, Adam Chase,1996-04-04,27.4,NBC,1,Normal Episode
2,21,457321,The One with the Bullies,Michael Lembeck,Brian Buckner & Sebastian Jones,1996-04-25,24.7,NBC,1,Normal Episode
2,22,457322,The One with the Two Parties,Michael Lembeck,Alexa Junge,1996-05-02,25.5,NBC,1,Normal Episode
2,23,457324,The One with the Chicken Pox,Michael Lembeck,Brown Mandell,1996-05-09,26.1,NBC,1,Normal Episode
2,24,457323,The One with Barry and Mindy's Wedding,Michael Lembeck, Brown Mandell,1996-05-16,29.0,NBC,1,Season Finale
3,1,465251,The One with the Princess Leia Fantasy,Gail Mancuso,Michael Curtis & Gregory S. Malins,1996-09-19,26.8,NBC,1,Season Premiere
3,2,465252,The One Where No One's Ready,Gail Mancuso,Ira Ungerleider,1996-09-26,26.7,NBC,1,50th Episode
3,3,465253,The One with the Jam,Kevin S. Bright,Wil Calhoun,1996-10-03,25.2,NBC,1,Normal Episode
3,4,465254,The One with the Metaphorical Tunnel,Steve Zuckerman,Alexa Junge,1996-10-10,26.1,NBC,1,Normal Episode
3,5,465255,The One with Frank Jr.,Steve Zuckerman,Shana Goldberg-Meehan & Scott Silveri,1996-10-17,23.3,NBC,1,Normal Episode
3,6,465256,The One with the Flashback,Peter Bonerz,David Crane & Marta Kauffman,1996-10-31,23.3,NBC,1,Normal Episode
3,7,465257,The One with the Race Car Bed,Gail Mancuso,Seth Kurland,1996-11-07,27.4,NBC,1,Normal Episode
3,8,465258,The One with the Giant Poking Device,Gail Mancuso,Adam Chase,1996-11-14,28.7,NBC,1,Normal Episode
3,9,465259,The One with the Football,Kevin S. Bright,Ira Ungerleider,1996-11-21,29.3,NBC,1,Normal Episode
3,10,465260,The One Where Rachel Quits,Terry Hughes,Gregory S. Malins & Michael Curtis,1996-12-12,25.1,NBC,1,Normal Episode
3,11,465261,The One Where Chandler Can't Remember Which Sister,Terry Hughes,Alexa Junge,1997-01-09,29.8,NBC,1,Normal Episode
3,12,465262,The One with All the Jealousy,Robby Benson,Doty Abrams,1997-01-16,29.6,NBC,1,Normal Episode
3,13,465265,The One Where Monica and Richard Are Just Friends,Robby Benson,Michael Borkow,1997-01-30,28.0,NBC,1,Normal Episode
3,14,465266,The One with Phoebe's Ex-Partner,Robby Benson,Wil Calhoun,1997-02-06,28.9,NBC,1,Normal Episode
3,15,465263,The One Where Ross and Rachel Take a Break,James Burrows,Michael Borkow,1997-02-13,27.3,NBC,1,Normal Episode
3,16,465264,The One with the Morning After,James Burrows,David Crane & Marta Kauffman,1997-02-20,28.3,NBC,1,Normal Episode
3,17,465267,The One Without the Ski Trip,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,1997-03-06,25.8,NBC,1,Normal Episode
3,18,465269,The One with the Hypnosis Tape,Robby Benson,Seth Kurland,1997-03-13,28.1,NBC,1,Normal Episode
3,19,465268,The One with the Tiny T-Shirt,Terry Hughes,Adam Chase,1997-03-27,23.7,NBC,1,Normal Episode
3,20,465270,The One with the Dollhouse,Terry Hughes,Wil Calhoun,1997-04-10,24.4,NBC,1,Normal Episode
3,21,465271,The One with a Chick and a Duck,Michael Lembeck,Chris Brown,1997-04-17,23.2,NBC,1,Normal Episode
3,22,465272,The One with the Screamer,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,1997-04-24,22.6,NBC,1,Normal Episode
3,23,465274,The One with Ross's Thing,Shelley Jensen,Ted Cohen & Andrew Reich,1997-05-01,24.2,NBC,1,Normal Episode
3,24,465273,The One with the Ultimate Fighting Champion,Robby Benson, Shana Goldberg-Meehan & Scott Silveri,1997-05-08,23.1,NBC,1,Normal Episode
3,25,465275,The One at the Beach,Pamela Fryman, Adam Chase,1997-05-15,28.8,NBC,1,Season Finale
4,1,466601,The One with the Jellyfish,Shelley Jensen,Wil Calhoun,1997-09-25,29.4,NBC,1,Season Premiere
4,2,466602,The One with the Cat,Shelley Jensen,"Jill Condon 
& Amy Toomin",1997-10-02,25.5,NBC,1,Normal Episode
4,3,466603,The One with the Cuffs,Peter Bonerz,Seth Kurland,1997-10-09,24.0,NBC,1,Normal Episode
4,4,466604,The One with the Ballroom Dancing,Gail Mancuso,Ted Cohen & Andrew Reich,1997-10-16,24.3,NBC,1,Normal Episode
4,5,466605,The One with Joey's New Girlfriend,Gail Mancuso,Gregory S. Malins & Michael Curtis,1997-10-30,24.4,NBC,1,Normal Episode
4,6,466606,The One with the Dirty Girl,Shelley Jensen,Shana Goldberg-Meehan & Scott Silveri,1997-11-06,25.7,NBC,1,Normal Episode
4,7,466607,The One Where Chandler Crosses the Line,Kevin S. Bright,Adam Chase,1997-11-13,26.4,NBC,1,Normal Episode
4,8,466608,The One with Chandler in a Box,Peter Bonerz,Michael Borkow,1997-11-20,26.8,NBC,1,Normal Episode
4,9,466609,The One Where They're Going to Party!,Peter Bonerz,Ted Cohen & Andrew Reich,1997-12-11,23.9,NBC,1,Normal Episode
4,10,466612,The One with the Girl from Poughkeepsie,Gary Halvorson,Scott Silveri,1997-12-18,23.2,NBC,1,Normal Episode
4,11,466610,The One with Phoebe's Uterus,David Steinberg,Seth Kurland,1998-01-08,23.7,NBC,1,Normal Episode
4,12,466611,The One with the Embryos,Kevin S. Bright,Jill Condon & Amy Toomin,1998-01-15,27.1,NBC,1,Normal Episode
4,13,466613,The One with Rachel's Crush,Dana DeVally Piazza,Shana Goldberg-Meehan,1998-01-29,25.3,NBC,1,Normal Episode
4,14,466614,The One with Joey's Dirty Day,Peter Bonerz,Wil Calhoun,1998-02-05,25.1,NBC,1,Normal Episode
4,15,466617,The One with All the Rugby,James Burrows, Wil Calhoun,1998-02-26,24.4,NBC,1,Normal Episode
4,16,466615,The One with the Fake Party,Michael Lembeck, Scott Silveri & Shana Goldberg-Meehan,1998-03-19,23.1,NBC,1,Normal Episode
4,17,466616,The One with the Free Porn,Michael Lembeck, Richard Goodman,1998-03-26,23.2,NBC,1,Normal Episode
4,18,466620,The One with Rachel's New Dress,Gail Mancuso, Jill Condon & Amy Toomin,1998-04-02,21.7,NBC,1,Normal Episode
4,19,466618,The One with All the Haste,Kevin S. Bright,Scott Silveri & Wil Calhoun,1998-04-09,21.8,NBC,1,Normal Episode
4,20,466621,The One with All the Wedding Dresses,Gail Mancuso, Gregory S. Malins & Michael Curtis,1998-04-16,21.9,NBC,1,Normal Episode
4,21,466619,The One with the Invitation,Peter Bonerz,Seth Kurland,1998-04-23,21.5,NBC,1,Normal Episode
4,22,466622,The One with the Worst Best Man Ever,Peter Bonerz, Gregory S. Malins & Michael Curtis,1998-04-30,23.2,NBC,1,Normal Episode
5,1,467651,The One After Ross Says Rachel,Kevin S. Bright,Seth Kurland,1998-09-24,31.1,NBC,1,Season Premiere
5,2,467652,The One with All the Kissing,Gary Halvorson,Wil Calhoun,1998-10-01,25.4,NBC,1,99th Episode
5,3,467653,The One HundredthThe One with the Triplets,Kevin S. Bright,David Crane & Marta Kauffman,1998-10-08,26.8,NBC,1,100th Episode
5,4,467654,The One Where Phoebe Hates PBS,Shelley Jensen,Michael Curtis,1998-10-15,24.1,NBC,1,Normal Episode
5,5,467655,The One with the Kips,Dana DeValley Piazza,Scott Silveri,1998-10-29,25.9,NBC,1,Normal Episode
5,6,467656,The One with the Yeti,Gary Halvorson,Alexa Junge,1998-11-05,25.0,NBC,1,Normal Episode
5,7,467657,The One Where Ross Moves In,Gary Halvorson,Gigi McCreery & Perry Rein,1998-11-12,24.4,NBC,1,Normal Episode
5,8,467659,The One with All the Thanksgivings,Kevin S. Bright,Gregory S. Malins,1998-11-19,23.9,NBC,1,Normal Episode
5,9,467658,The One with Ross's Sandwich,Gary Halvorson,Ted Cohen & Andrew Reich,1998-12-10,23.0,NBC,1,Normal Episode
5,10,467661,The One with the Inappropriate Sister,Dana DeValley Piazza,Shana Goldberg-Meehan,1998-12-17,23.7,NBC,1,Normal Episode
5,11,467660,The One with All the Resolutions,Joe Regalbuto, Suzie Villandry,1999-01-07,27.0,NBC,1,Normal Episode
5,12,467663,The One with Chandler's Work Laugh,Kevin S. Bright,Alicia Sky Varinaitis,1999-01-21,24.8,NBC,1,Normal Episode
5,13,467662,The One with Joey's Bag,Gail Mancuso, Seth Kurland,1999-02-04,24.9,NBC,1,Normal Episode
5,14,467664,The One Where Everybody Finds Out,Michael Lembeck,Alexa Junge,1999-02-11,27.7,NBC,1,Normal Episode
5,15,467665,The One with the Girl Who Hits Joey,Kevin S. Bright,Adam Chase,1999-02-18,29.3,NBC,1,Normal Episode
5,16,467666,The One with the Cop,Andrew Tsao, Gigi McCreery & Perry Rein,1999-02-25,26.0,NBC,1,Normal Episode
5,17,467667,The One with Rachel's Inadvertent Kiss,Shelley Jensen,Andrew Reich & Ted Cohen,1999-03-18,24.5,NBC,1,Normal Episode
5,18,467668,The One Where Rachel Smokes,Todd Holland,Michael Curtis,1999-04-08,21.9,NBC,1,Normal Episode
5,19,467669,The One Where Ross Can't Flirt,Gail Mancuso,Doty Abrams,1999-04-22,20.9,NBC,1,Normal Episode
5,20,467670,The One with the Ride-Along,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,1999-04-29,19.6,NBC,1,Normal Episode
5,21,467671,The One with the Ball,Gary Halvorson, Gregory S. Malins,1999-05-06,20.9,NBC,1,Normal Episode
5,22,467672,The One with Joey's Big Break,Gary Halvorson, Wil Calhoun,1999-05-13,21.3,NBC,1,Normal Episode
6,1,225551,The One After Vegas,Kevin S. Bright,Adam Chase,1999-09-23,27.7,NBC,1,Season Premiere
6,2,225552,The One Where Ross Hugs Rachel,Gail Mancuso,Shana Goldberg-Meehan,1999-09-30,22.9,NBC,1,Normal Episode
6,3,225553,The One with Ross's Denial,Gary Halvorson,Seth Kurland,1999-10-07,21.6,NBC,1,Normal Episode
6,4,225554,The One Where Joey Loses His Insurance,Gary Halvorson,Andrew Reich & Ted Cohen,1999-10-14,21.1,NBC,1,Normal Episode
